[2025-09-15T07:32:50.651Z] XAU/USD: 3637475000000000000000 | USD/VND: 26380000000000000000000 | Tx: 0x9f46143ab79685c7f61c88f5de8826e8a75dca3f30d17345318b3d37c4131a86
[2025-09-15T10:47:55.990Z] XAU/USD: 3641580000000000000000 | USD/VND: 26379250000000000000000 | Tx: 0xbfc118ecfe4c2eda77bf047f60fb9c07610bd3a20d92ef5d20f38cd7a9c57dc7
[2025-09-15T10:52:55.762Z] XAU/USD: 3639920800000000000000 | USD/VND: 26379250000000000000000 | Tx: 0x5b28a64fe35cd1870a317f74f063f9c1e1dedf2057082bbe717292afdd1137bb
[2025-09-15T13:24:54.444Z] XAU/USD: 3651440050124999700000 | USD/VND: 26379250000000000000000 | Tx: 0xb6627968d6a18aa8bf0dc27c0d20809262971da81e10b7ad34735f8555eaa3b4
[2025-09-15T13:29:54.057Z] XAU/USD: 3653655000000000000000 | USD/VND: 26379250000000000000000 | Tx: 0x4735e07477695e19ae882c7e5a747452a6865d9beabbd5d89e9f4e1b70b7495f
[2025-09-15T13:34:54.369Z] XAU/USD: 3655490000000000000000 | USD/VND: 26379250000000000000000 | Tx: 0xb50f713a732a63592cae2fcee792b9e84ffce23419e5a6061dc7f1b3cf2413ce
[2025-09-15T13:39:53.995Z] XAU/USD: 3661299999917500200000 | USD/VND: 26379250000000000000000 | Tx: 0xf3f1126e5b6aecaa194e99ea405445589fc3f8a3d1cb5c56c11eff37ca0c08a7
[2025-09-15T13:44:54.900Z] XAU/USD: 3663295000094999800000 | USD/VND: 26379250000000000000000 | Tx: 0x77e45aa1abe9c6cdcc419026e518d63412c13df456721d0d9d468792d00fa726
[2025-09-15T13:49:55.077Z] XAU/USD: 3660180000000000000000 | USD/VND: 26379250000000000000000 | Tx: 0x2d1566b5ce636103b77f2c5674e1154728e565b1b4ca4e272c7e0f4216011101
[2025-09-15T15:14:49.221Z] XAU/USD: 3664633750008749925000 | USD/VND: 26380000000000000000000 | Tx: 0x64b06f65070a7894bb136ba264a12bf485547b9635e6b4c492955a32c61163b4
[2025-09-15T15:19:48.934Z] XAU/USD: 3664802800000000000000 | USD/VND: 26380000000000000000000 | Tx: 0x4d5dc0388af9a5e7f83288e5041de33d0bd4154f40ac7908908360deb57da064
[2025-09-17T02:59:37.453Z] XAU/USD: 3682324800000000000000 | USD/VND: 26382500000000000000000 | Tx: 0x6c04ea10bfe5ef9bd1e2bb0d72aa7cbbeebd9065faddb93c3f9e09ce2649186a
[2025-09-17T03:04:37.769Z] XAU/USD: 3682009800000000000000 | USD/VND: 26365500000000000000000 | Tx: 0x756c13ce3a168b520c5e2523c657389ad8da06cf8e29bee828072ef874db50da
[2025-09-17T03:09:40.771Z] XAU/USD: 3680613800000000000000 | USD/VND: 26365500000000000000000 | Tx: 0x123087a237b7220a6622aa3a77353cc457640765020fd66ee1199a897dbf15c8
[2025-09-17T03:14:38.438Z] XAU/USD: 3681960000000000000000 | USD/VND: 26365500000000000000000 | Tx: 0xbd9a5cf9e01648c275f978f37afd7c45bc37c1c88ab0ac17777d1a4453640584
[2025-09-17T03:19:37.213Z] XAU/USD: 3682069800000000000000 | USD/VND: 26365500000000000000000 | Tx: 0xf58f2b2f0bc8fa4475d7fdb2b51240496e804096c3b049dea7d7c58652b87220
[2025-09-17T03:24:37.411Z] XAU/USD: 3682440300000000150000 | USD/VND: 26365500000000000000000 | Tx: 0xa1364d57cbb672cf174ac0dc9f26f0b600caad6be02e9ead16bc11cc95764b55
[2025-09-17T03:29:38.548Z] XAU/USD: 3681350000000000000000 | USD/VND: 26365500000000000000000 | Tx: 0xb136c6af3a4c9bf470eb833ab382f841b100901b628e8a3492e4ad0c26d40e59
[2025-09-17T03:34:37.932Z] XAU/USD: 3682340000000000000000 | USD/VND: 26365500000000000000000 | Tx: 0x0be9b8066e6e602d713cfea24389876377f405558ed61f7da407dc57aba89f0a
[2025-09-17T03:39:37.169Z] XAU/USD: 3682166000000000000000 | USD/VND: 26365500000000000000000 | Tx: 0x9ae118cdb1b7dd2e0d1093e1eeb114690cc9c84465ed0d6953a05d42d6536fb3
[2025-09-17T03:44:39.263Z] XAU/USD: 3682330000000000000000 | USD/VND: 26365500000000000000000 | Tx: 0x87c277f6d0e788227cc9df2ef958878f0fd3542ad8c325848607523531b75a86
[2025-09-17T03:49:38.285Z] XAU/USD: 3682119400000000000000 | USD/VND: 26365500000000000000000 | Tx: 0x2a7ac4cf3c1dc792f129a0c6eb5b0df553e5b0e07a35108d5897a6d5b2dd6af8
[2025-09-17T03:54:39.924Z] XAU/USD: 3681250000000000000000 | USD/VND: 26365500000000000000000 | Tx: 0xa8ce6bc512bf8cdb2259b6074c509c43f9a67f338996897574b440333e38639d
[2025-09-17T03:59:37.138Z] XAU/USD: 3681708499999999700000 | USD/VND: 26365500000000000000000 | Tx: 0x7c372dbe40d741fb215dc984b1251c862718bec67e40ef9d8def5dd4372e11a1
[2025-09-17T04:04:37.825Z] XAU/USD: 3682440000000000000000 | USD/VND: 26365500000000000000000 | Tx: 0xe8d7e2e278349d10eec87e78a508fd4d61d0416e1ba5adf59e27d2a2b0fd8842
[2025-09-17T04:09:39.829Z] XAU/USD: 3682132800000000300000 | USD/VND: 26365500000000000000000 | Tx: 0x21644b6b783d6e274329e890d3cccd7132f786153288210d4fe5c354a030fea9
[2025-09-17T04:14:38.134Z] XAU/USD: 3682240000000000000000 | USD/VND: 26365500000000000000000 | Tx: 0xbc5255e027fafd8d89371ef9e1ce79cd5db464ab3360e77b3103fe8e8759a7e2
[2025-09-17T04:19:39.114Z] XAU/USD: 3682090000000000000000 | USD/VND: 26365500000000000000000 | Tx: 0xedcca2c7eaa1f1a27c599ff059afceb61d3eaf33ab3b6549877202db48d24d9e
[2025-09-17T04:24:37.170Z] XAU/USD: 3681437600000000000000 | USD/VND: 26365500000000000000000 | Tx: 0x5ed666ffbba9702c5fd61df029455ace3fb641023d7db1bf9150ca5afb7ba3df
[2025-09-17T04:29:39.189Z] XAU/USD: 3681319000000000000000 | USD/VND: 26365500000000000000000 | Tx: 0xb42320cae10ae0daf4dd55e46ed1675283c20c4dc4d01b338bae3ef6bc53309f
[2025-09-17T10:31:45.742Z] XAU/USD: 3666468399977500075000 | USD/VND: 26360000000000000000000 | Tx: 0xb28a66d9603a07e61a73943a15ccfb1ce75d4c15858fdfed7a06913973179687
[2025-09-17T10:36:46.083Z] XAU/USD: 3665649999976249900000 | USD/VND: 26360000000000000000000 | Tx: 0x08dd8188d4d1a4cb26a429fef2d6230b825c9708b6b59ce6611b22bc7dac20c4
[2025-09-17T10:41:45.100Z] XAU/USD: 3666125050000000000000 | USD/VND: 26360000000000000000000 | Tx: 0x69129ecf2d116fd709b1f4b98a62798392267c07207726061e2c366000a48991
[2025-09-17T10:46:46.974Z] XAU/USD: 3666975000036250150000 | USD/VND: 26360000000000000000000 | Tx: 0x5ff900f9325260ef55bbff963b242cbc96574390a50eb904ea51fe3ce6bd45dd
[2025-09-17T10:51:44.993Z] XAU/USD: 3662312499936250200000 | USD/VND: 26360000000000000000000 | Tx: 0x5f8ecbd373759ba13c2dc363a1ec9f94b1437540fe8bd5423abf2bb064e9d9d9
[2025-09-17T10:56:46.228Z] XAU/USD: 3661762800000000000000 | USD/VND: 26360000000000000000000 | Tx: 0x5f9b43c7bfafe9b7a7e31adcdc44b6bbc91fec7577f6d236b45f9e62911e076a
[2025-09-17T11:01:46.002Z] XAU/USD: 3660526800000000050000 | USD/VND: 26360000000000000000000 | Tx: 0xd752909b52c66efebfd644ba3952bdcaf6de2fccdde24b70039382584d0670f9
[2025-09-17T11:06:45.002Z] XAU/USD: 3661144999955000150000 | USD/VND: 26360000000000000000000 | Tx: 0x95ed4427d3f8e2199a7231c3fe59c58ed8046ea0379cc8aa1ad25ce6c36fdd59
[2025-09-17T11:11:45.076Z] XAU/USD: 3663625000065000000000 | USD/VND: 26360000000000000000000 | Tx: 0x8d76db7aeecece8a90766929c9bd50a30209a0ed139fceea16ccbebda3f66648
[2025-09-17T11:16:46.056Z] XAU/USD: 3663126899972500000000 | USD/VND: 26360000000000000000000 | Tx: 0x8cf12b4868ea29ed15cff82748e27e8ba01a80702fd70923921ac283557d03ff
[2025-09-17T11:21:44.904Z] XAU/USD: 3665600000035000000000 | USD/VND: 26360000000000000000000 | Tx: 0xb61c2a4314ab4d40f30ea6e2694da124ebfa5ec7e3245f9a7f3fb655f4ff4dcb
[2025-09-17T11:26:45.415Z] XAU/USD: 3666485000047500000000 | USD/VND: 26360000000000000000000 | Tx: 0x4af80d59efddbadd43d8e405fd73bb4199a31de2a83e54d05e9b01f51d8e1580
[2025-09-17T11:31:44.976Z] XAU/USD: 3667472899999999900000 | USD/VND: 26360000000000000000000 | Tx: 0xbf8675ee217ee33c8f0d185820c1d51d99ba7825d2276008633d5a8cad86ebb7
[2025-09-17T11:36:45.146Z] XAU/USD: 3667719650052500000000 | USD/VND: 26360000000000000000000 | Tx: 0x9e97b70679c208906aceaa4c29296cccbdb7f524503a90ed682031e68f15f4c6
[2025-09-17T11:41:46.058Z] XAU/USD: 3666655000027500000000 | USD/VND: 26360000000000000000000 | Tx: 0x16086ebb3f2a6e7813dcf8b0e360d7d58adb0e67e75846d116897c9e24dd3628
[2025-09-17T11:46:45.017Z] XAU/USD: 3668202500120000000000 | USD/VND: 26360000000000000000000 | Tx: 0xfa50b0ec651cac1f66c65e190f75da0f9df51bd61baa4c69c7d737ffe1e59af7
[2025-09-17T11:51:45.065Z] XAU/USD: 3668011399987500025000 | USD/VND: 26360000000000000000000 | Tx: 0x9ec9ff0554c95ff9250b60a4b9cdc389a3af9e5e2359e06cfff0da87e0dc5677
[2025-09-17T11:56:46.032Z] XAU/USD: 3665848249999999900000 | USD/VND: 26360000000000000000000 | Tx: 0xa602e4d8d9e93e1a6fcbf510ef70604ef169dd5ac065034d382a538a65fd9074
[2025-09-17T12:01:45.410Z] XAU/USD: 3667980000047500000000 | USD/VND: 26360000000000000000000 | Tx: 0xdd56096ca7dde55c7824e276c2a5fb90fb6ae8df9a3e6d895ccd7929bec117a8
[2025-09-17T12:06:47.009Z] XAU/USD: 3669596250000000150000 | USD/VND: 26360000000000000000000 | Tx: 0x7b12c5bf03fdc45911a7b495114382a47f3fc03144c1a7743f17eaedd50ea705
[2025-09-17T12:11:46.117Z] XAU/USD: 3671290550003750000000 | USD/VND: 26360000000000000000000 | Tx: 0x3d525872233bc1754fec594f3ec8c1f65155f0f9700520b9601c896e5f6e417e
[2025-09-17T12:16:45.068Z] XAU/USD: 3669846275008749900000 | USD/VND: 26360000000000000000000 | Tx: 0xc5a6aa9cc3025205e664e329032fc89ac0383f2a20516243772cd728be5530fd
[2025-09-17T12:21:46.292Z] XAU/USD: 3671739999952500000000 | USD/VND: 26360000000000000000000 | Tx: 0x650daaba1d652bfe2833dad39303881ef338ec35b1076877b8d008cffaa6769c
[2025-09-17T12:26:45.153Z] XAU/USD: 3670733075000000000000 | USD/VND: 26360000000000000000000 | Tx: 0x3aa70390189f4b23cdfd7a06dc24140378c4d74578c0fe13f1d8a8009ac17254
[2025-09-17T12:31:45.034Z] XAU/USD: 3671432500007500000000 | USD/VND: 26360000000000000000000 | Tx: 0x4944a7dbb2bd865e1a6a343599a5505e53d9b60a23b38e622636d62d014e29ff
[2025-09-17T12:36:46.188Z] XAU/USD: 3671849999992500000000 | USD/VND: 26360000000000000000000 | Tx: 0xf16e85175216532c3c5983fb18a213fa08c410a4fdf8bd88a9f0527eb6ff2cc2
[2025-09-17T12:41:46.099Z] XAU/USD: 3673997525018749925000 | USD/VND: 26360000000000000000000 | Tx: 0xe6f247a956ac37d99ea345525b56dbe74c213402b3a6a55aa6d8bd7105d2dfaa
[2025-09-17T12:46:44.968Z] XAU/USD: 3675370000014999925000 | USD/VND: 26360000000000000000000 | Tx: 0x611a72ac5448fd3a357889ff21621a550b4159c749a1fe8ac24498b1413d2058
[2025-09-17T12:51:46.180Z] XAU/USD: 3676084049992500000000 | USD/VND: 26360000000000000000000 | Tx: 0xc5127d4a0579e38f8ab8857831d50558e1e61d8dfc6e98ecbd88221c52a18f2c
[2025-09-17T12:56:45.042Z] XAU/USD: 3678424900000000000000 | USD/VND: 26360000000000000000000 | Tx: 0x27b5ad59ff8b01ade95e68ecb0dedec474699cba8dd2abb0f2cddf8048074993
[2025-09-17T13:01:46.055Z] XAU/USD: 3677494550000000000000 | USD/VND: 26360000000000000000000 | Tx: 0x7b875a92a3f3053406dfbedcad31b0d5deb2c54f6bb00b527caaf181e56cd921
[2025-09-17T13:06:46.094Z] XAU/USD: 3675500000021250000000 | USD/VND: 26360000000000000000000 | Tx: 0x99e342375ee5c7fe86904797b2655fe44fbeb054e852a48e7a2c739def08981b
[2025-09-17T13:10:32.344Z] XAU/USD: 3676909999985000000000 | USD/VND: 26360000000000000000000 | Tx: 0x3b0701296fa19f7f87d7c42ce8aec64496a6e19440295b08f62fdf8cbff0b6f4
[2025-09-17T13:15:33.381Z] XAU/USD: 3679088999975000075000 | USD/VND: 26360000000000000000000 | Tx: 0xa5f31201c8ccfd34eb55fbae630c454e4d92b94a37ee06afb73d86db8c8916c5
[2025-09-17T13:20:32.294Z] XAU/USD: 3675999899942500150000 | USD/VND: 26360000000000000000000 | Tx: 0xa3e64e76ff16fd76dd60a516b0a9d154ebc1c9a626117d4fc1badbb9f40db5a6
[2025-09-17T13:25:32.277Z] XAU/USD: 3675501250000000000000 | USD/VND: 26360000000000000000000 | Tx: 0xb924f98c32771039860e96ef9020ff6a2c1a73d43a148a531519ae61de377612
[2025-09-17T13:30:33.189Z] XAU/USD: 3677487500059999800000 | USD/VND: 26360000000000000000000 | Tx: 0x9c4c9d1b88341e0096ca39b34c28b68f6679f91357e3ede6346fe5f7954434ac
[2025-09-17T13:34:22.638Z] XAU/USD: 3678150849893750125000 | USD/VND: 26360000000000000000000 | Tx: 0xe5fd5d134151ea0888c172bafbf9348e6f93db5830d45e6239e816a3577a411e
[2025-09-17T13:39:21.382Z] XAU/USD: 3681192499932499925000 | USD/VND: 26360000000000000000000 | Tx: 0xebc6c4b87ed20ac92395c47d3712e775148a03c7aecd7b108d5cb1b460e74caf
[2025-09-17T13:44:21.636Z] XAU/USD: 3679208749982500325000 | USD/VND: 26360000000000000000000 | Tx: 0x8cf86b6af372c03106843b658e50a68b9c233c3151a55f3cd342091423391124
[2025-09-17T13:49:21.382Z] XAU/USD: 3678844925017500025000 | USD/VND: 26360000000000000000000 | Tx: 0x357a6a318fdc80bdb9227bffdcef702573ac07c8b4c6cdcfb73e6434d948f090
[2025-09-17T13:54:21.576Z] XAU/USD: 3676790749987500000000 | USD/VND: 26360000000000000000000 | Tx: 0x66d706ef35bca2c93c3f177496e1975067cae6dd05bd4a4a60fa7852f34b1377
[2025-09-17T13:59:22.585Z] XAU/USD: 3678466049910000300000 | USD/VND: 26360000000000000000000 | Tx: 0x087ea123ae1f6223871f24fdc3a466ab05c26ec25f5b3f5cf414798194a14197
[2025-09-17T14:04:21.541Z] XAU/USD: 3679192499995000000000 | USD/VND: 26360000000000000000000 | Tx: 0x56b4193437328b660cff49317410ef3946839af1a77f4490c03851d64b0dd049
[2025-09-17T14:09:21.790Z] XAU/USD: 3680923600016249825000 | USD/VND: 26360000000000000000000 | Tx: 0xaf5b1942b527676474c40db06598cccc9798293eb444e7224f88960c0075c12c
[2025-09-17T14:14:23.173Z] XAU/USD: 3684087749986249925000 | USD/VND: 26360000000000000000000 | Tx: 0x167ed19ab43335d28fa896dd60fa21699fa07225699590006c9c3b06e36853fd
[2025-09-17T14:19:23.404Z] XAU/USD: 3683656400066249925000 | USD/VND: 26360000000000000000000 | Tx: 0x8e164847e6fe298c1e72a12841bd9545d992a47dce9104dded7f7e0ebf77e322
[2025-09-17T14:24:21.439Z] XAU/USD: 3683475350007500000000 | USD/VND: 26360000000000000000000 | Tx: 0x4b71ef93bf96b4bb2cd049938af6a9a2684ea4d416daaddc97c6c376b918697d
[2025-09-17T14:29:21.635Z] XAU/USD: 3682852549988750000000 | USD/VND: 26360000000000000000000 | Tx: 0x30f62dbe9d8112344948a74e8c7ffb2197671e53384a355cba1b81ac8df83988
[2025-09-17T14:34:23.201Z] XAU/USD: 3684517500012499750000 | USD/VND: 26360000000000000000000 | Tx: 0x3bf7144ff6a871579afd0aa8e1e577c64fc4f7d802d9e45acd8a60e3d164853d
[2025-09-17T14:39:22.672Z] XAU/USD: 3684759175001249950000 | USD/VND: 26360000000000000000000 | Tx: 0x5cf86d21b09acef07bbec5ff8656e3b7792cc87bda4df871da51de1dfd8939d1
[2025-09-17T14:44:21.570Z] XAU/USD: 3685167499992500000000 | USD/VND: 26360000000000000000000 | Tx: 0xab4b155442dd1e001ff0f52b9d370058b670c72aa81fa4ce6ac5016338f6590a
[2025-09-17T14:49:22.452Z] XAU/USD: 3685803475000000000000 | USD/VND: 26360000000000000000000 | Tx: 0x8daddc0302106a55b2648864b0a01985d1644bdb65c18060587fe295d7921f42
[2025-09-17T14:54:22.493Z] XAU/USD: 3683201300015000000000 | USD/VND: 26360000000000000000000 | Tx: 0xedd705c6f2df73bec9d117b0f790267a4ab417a0d9bf35b926762d7443f655ec
[2025-09-17T14:59:21.654Z] XAU/USD: 3683241325001250025000 | USD/VND: 26360000000000000000000 | Tx: 0x00db0d2e586cf9e4c6335a7d72ee137087137b1a5075f13a5703d5bb485a2848
[2025-09-17T15:04:21.699Z] XAU/USD: 3685127499935000150000 | USD/VND: 26367500000000000000000 | Tx: 0x9443ca0d4b0501d82fc8b31a7a18bdfaa08aae45d077969113f35240d83bc562
[2025-09-17T15:09:22.365Z] XAU/USD: 3685123749987500000000 | USD/VND: 26367500000000000000000 | Tx: 0xa75b1eb708d9844ea1f6c6710638e3c3f6758cc3d28eff94f78bd02c5e9a4b84
[2025-09-17T15:14:21.635Z] XAU/USD: 3686114550052500000000 | USD/VND: 26367500000000000000000 | Tx: 0x14903d511a7a95fd615be5f73979bdf92a4a9f39895738d986233189133ed536
[2025-09-17T15:19:22.928Z] XAU/USD: 3685493300128750025000 | USD/VND: 26367500000000000000000 | Tx: 0xb7bc3350c93798a305e8b198e93724d35d2b86cbe7f91b1b5cf448c24474f4b9
[2025-09-17T15:24:22.486Z] XAU/USD: 3686189125003750000000 | USD/VND: 26367500000000000000000 | Tx: 0x168ff6cb627cbf40880d042a74c6019de52170ed942c969306e204aaffa98727
[2025-09-17T15:29:21.523Z] XAU/USD: 3684687500000000075000 | USD/VND: 26367500000000000000000 | Tx: 0x205a745473415ef9533da4b3214a0910866260627e6b352429c8cd7d3dfeb272
[2025-09-17T15:34:21.453Z] XAU/USD: 3684961499993750000000 | USD/VND: 26367500000000000000000 | Tx: 0xcb7f7fa7e5a3a00417665c44e99d4f14751c161c58734bc084120ce6b717a731
[2025-09-17T15:39:21.475Z] XAU/USD: 3685634999980000000000 | USD/VND: 26367500000000000000000 | Tx: 0x8fd135468780276970a51a471ed9af2ffde42ebd2e3b4a9ec4685cb81bbfc40e
[2025-09-17T15:44:22.479Z] XAU/USD: 3685083300029999750000 | USD/VND: 26367500000000000000000 | Tx: 0xa2f6962c4054bce9ccb0cba2ff7a9fda4a0ca53dc584f0adaf7601c104279b97
[2025-09-17T15:49:21.565Z] XAU/USD: 3684273750003750000000 | USD/VND: 26367500000000000000000 | Tx: 0x9efc9c65e55ba1bd843cb929e9ae11aff8e9597a640386caa983b41148f4c08b
[2025-09-17T15:54:22.582Z] XAU/USD: 3683477649982500000000 | USD/VND: 26367500000000000000000 | Tx: 0xd9bb6eb7235c4b236295b3acec351b18339b02c14e7d327031b6f5ff2d6820a4
[2025-09-17T15:59:31.407Z] XAU/USD: 3684139800016249875000 | USD/VND: 26367500000000000000000 | Tx: 0xe28d2c9f0a6449d1d9e29b651a6973e6612af59d021636d8d3aad1737376d9dc
